word,lemma,POS,IC
ganadora,ganadora,n,NC_a
biología,biología,nfs,NC_a
.la,.la,n,NC_a
negativa,negativa,nfs,NC_a
tinta,tinta,nfs,NC_a
desconocido,desconocido,nms,NC_o
burbuja,burbuja,nfs,NC_a
academia,academia,nfs,NC_a
elenco,elenco,nms,NC_o
castillo,castillo,nms,NC_o
quiebra,quiebra,nfs,NC_a
cerdo,cerdo,nms,NC_o
textura,textura,nfs,NC_a
ingesta,ingesta,nfs,NC_a
medalla,medalla,nfs,NC_a
monumento,monumento,nms,NC_o
globo,globo,nms,NC_o
despido,despido,nms,NC_o
pico,pico,nms,NC_o
coro,coro,nms,NC_o
cebolla,cebolla,nfs,NC_a
pto,punto,n,NC_o
puta,puta,nfs,NC_a
corteza,corteza,nfs,NC_a
lobo,lobo,nms,NC_o
judía,judío,n,NC_o
supermercado,supermercado,nms,NC_o
crítico,crítico,nms,NC_o
escucha,escucha,nms,NC_a
anciano,anciano,nms,NC_o
cuchillo,cuchillo,nms,NC_o
despedida,despedida,nfs,NC_a
proletariado,proletariado,nms,NC_o
auditoría,auditoría,nfs,NC_a
pro,pro,nfs,NC_o
paja,paja,nfs,NC_a
rubro,rubro,nms,NC_o
genocidio,genocidio,nms,NC_o
hacienda,hacienda,nfs,NC_a
escalera,escalera,nfs,NC_a
gallo,gallo,nms,NC_o
empleo,empleo,n,NC_o
árbitro,árbitro,n,NC_o
enamorado,enamorado,n,NC_o
fantasma,fantasma,nms,NC_a
directiva,directiva,nfs,NC_a
versículo,versículo,nms,NC_o
repertorio,repertorio,nms,NC_o
custodia,custodia,nfs,NC_a
aroma,aroma,nms,NC_a
pistola,pistola,nfs,NC_a
litro,litro,nms,NC_o
vocabulario,vocabulario,nms,NC_o
discípulo,discípulo,nms,NC_o
agrado,agrado,nms,NC_o
paradoja,paradoja,nfs,NC_a
feto,feto,nms,NC_o
bala,bala,nfs,NC_a
sodio,sodio,nms,NC_o
palma,palma,nfs,NC_a
esclavo,esclavo,nms,NC_o
prudencia,prudencia,nfs,NC_a
hormona,hormona,nfs,NC_a
podia,podia,n,NC_a
trozo,trozo,nms,NC_o
hidrógeno,hidrógeno,nms,NC_o
primo,primo,nms,NC_o
diputada,diputada,n,NC_a
mecánica,mecánica,nfs,NC_a
vieja,vieja,nfs,NC_a
casilla,casilla,nfs,NC_a
puñado,puñado,nms,NC_o
flora,flora,nfs,NC_a
mafia,mafia,nfs,NC_a
dueña,dueña,nfs,NC_a
aliado,aliado,nms,NC_o
tomo,tomo,nms,NC_o
cuenca,cuenca,nfs,NC_a
infinito,infinito,nms,NC_o
siervo,siervo,nms,NC_o
pronóstico,pronóstico,nms,NC_o
enfermera,enfermera,n,NC_a
minuto,minuto,n,NC_o
muñeca,muñeca,nfs,NC_a
testamento,testamento,nms,NC_o
cueva,cueva,nfs,NC_a
olla,olla,nfs,NC_a
atractivo,atractivo,nms,NC_o
ídolo,ídolo,n,NC_o
rastro,rastro,nms,NC_o
carisma,carisma,nms,NC_a
pájaro,pájaro,nms,NC_o
bolso,bolso,nms,NC_o
vecina,vecina,n,NC_a
manto,manto,nms,NC_o
oliva,oliva,nfs,NC_a
macho,macho,nms,NC_o
coco,coco,nms,NC_o
cirujano,cirujano,nms,NC_o
mochila,mochila,nfs,NC_a
máxima,máxima,nfs,NC_a
leña,leña,nfs,NC_a
turista,turista,nms,NC_a
amado,amado,nms,NC_o
senda,senda,nfs,NC_a
nena,nena,n,NC_a
predio,predio,nms,NC_o
absurdo,absurdo,nms,NC_o
villa,villa,nfs,NC_a
cupo,cupo,nms,NC_o
magistrado,magistrado,nms,NC_o
cubierta,cubierta,nfs,NC_a
vocero,vocero,nms,NC_o
gráfico,gráfico,nms,NC_o
caldo,caldo,nms,NC_o
epidemia,epidemia,nfs,NC_a
favorito,favorito,nms,NC_o
pinta,pinta,nms,NC_a
paga,paga,nfs,NC_a
jefa,jefa,n,NC_a
abogada,abogada,n,NC_a
cacao,cacao,nms,NC_o
gala,gala,nfs,NC_a
nieto,nieto,nms,NC_o
furia,furia,nfs,NC_a
relleno,relleno,nms,NC_o
campesino,campesino,nms,NC_o
perseverancia,perseverancia,nfs,NC_a
pediatra,pediatra,nms,NC_a
bacteria,bacteria,nfs,NC_a
trauma,trauma,nms,NC_a
secta,secta,nfs,NC_a
joya,joya,nfs,NC_a
negativo,negativo,nms,NC_o
medico,médico,jn,NC_o
óptica,óptica,nfs,NC_a
cuaderno,cuaderno,nms,NC_o
velo,velo,nms,NC_o
profesorado,profesorado,nms,NC_o
correo,correo,n,NC_o
escultura,escultura,nfs,NC_a
piano,piano,nms,NC_o
ano,ano,nms,NC_o
arquero,arquero,nms,NC_o
santa,santa,n,NC_a
pasillo,pasillo,nms,NC_o
telenovela,telenovela,nfs,NC_a
amigo,amigo,n,NC_o
deportista,deportista,nms,NC_a
magisterio,magisterio,nms,NC_o
membrana,membrana,nfs,NC_a
maleta,maleta,nms,NC_a
diosa,diosa,n,NC_a
detrimento,detrimento,nms,NC_o
sierra,sierra,nfs,NC_a
