word,lemma_old,POS_old,IC_old,English,Animate,Innapropriate,Derivational,Potentially_Use,Other_POS,Span_Dic_Freq,Verb_Frequency,Adj_Frequency,Other_Freq,Regional_Use,Regional_dont_use,Use,log_freq,stim_list,lemma_new,POS_new,IC_new
moco,moco,nms    ,NC_O,"mucus, slime, ",,,,1,V,,1,,,,,0,,1,moco,n,nc_o
monta,monta,nfs    ,NC_A,"riding, mountain, total, importance",,,,1,V,,1,,,,,0,,1,monta,nfs,nc_a
monto,monto,nms    ,NC_O,amount,,,,1,V,,1,,,,,0,,1,monto,nms,nc_o
morada,morada,nfs    ,NC_A,"abode, dwelling, resting place",,,,1,Adj,,,1,,,,0,,1,morada,nfs,nc_a
morado,morado,nms    ,NC_O,"purple, mulberry, bruise",,,,1,Adj,,,1,,,,0,,1,morado,nms,nc_o
mosca,mosca,nfs    ,NC_A,fly (insect),,,,1,V,,1,,,,,0,,1,mosca,nfs,nc_a
mosca,mosca,nfs    ,NC_A,fly (insect),,,,1,V,,1,,,,,0,,1,mosca,n,nc_a
mosco,mosco,n,NC_O,mosquito,,,,1,V,,1,,,,,0,,1,mosco,n,nc_o
papada,papada,nfs    ,NC_A,double chin,,,,1,V,1746,1,,,,,0,,1,papada,nfs,nc_a
papado,papado,nms    ,NC_O,papacy,,,1,1,V,3675,1,,,,,0,,1,papado,nms,nc_o
pareja,pareja,nfs    ,NC_A,"couple, pair",,,,1,Adj,930990,,1,,,,0,,1,pareja,nfs,nc_a
parejo,parejo,n,NC_O,"level, uniform",,,,1,Adj,0,,1,,,,0,,1,parejo,n,nc_o
partida,partido,n,NC_O,"departure, game of card, certificate (of death)",,,,1,Adj,244972,,1,,,,0,,1,partida,nfs,nc_a
partida,partido,n,NC_O,"departure, game of card, certificate (of death)",,,,1,Adj,244972,,1,,,,0,,1,partido,n,nc_o
partido,partido,n,NC_O,"political party, sports game, advantage/benefit",,,,1,Adj,3563242,,1,,,,0,,1,partido,nms,nc_o
