word,wordID_set,lemma,POS,Inflection_Class,Meaning,Animacy,Innapropriate?,Derivational Morpheme?,Potential,
gramático,{187037},gramático,nms    ,NC_O,grammarian,,,,1,Adj
grana,"{95282, 240999}",grana,nfs    ,NC_A,"seeding (planting of seeds)< cochineal, burgundy",,,,1,V
granizada,{142686},granizada,nfs    ,NC_A,hailstorm,,,,1,V
granizado,{193670},granizado,nms    ,NC_O,slushie,,,,1,V
grano,"{88889, 151178, 211543}",grano,nms    ,NC_O,grain,,,,1,V
grilla,{50200},grilla,n,NC_A,female cricket/ grill,,,,,
grillo,{178189},grillo,n,NC_O,cricket,,,,,
gritería,{92709},gritería,nfs    ,NC_A,"outcry, uproar",,,,,
griterío,{77769},griterío,nms    ,NC_O,"clamour, uproar",,,,,
grulla,{155962},grulla,nfs    ,NC_A,crane (bird),,,,,Adj
grullo,{1035355},grullo,nms    ,NC_O,Adj,,,,,
grupa,{125235},grupa,nfs    ,NC_A,haunch (of horses),,,,1,
grupo,{35339},grupo,nms    ,NC_O,"group, party",,,,1,
gráfica,"{13688, 76738}",gráfica,nfs    ,NC_A,"graph, graphic",,,,,
gráfico,"{55416, 11865}",gráfico,nms    ,NC_O,"graph, chart",,,,,Adj
guacamaya,{107384},guacamaya,nfs    ,NC_A,"Macaw (CA), Candle Bush (CB, Honduras)",,,,,
guacamayo,{180021},guacamayo,nms    ,NC_O,"Macaw (El Salvador, Honduras)",,,,,
guajira,"{123041, 175235, 290612, 64599}",guajira,nfs    ,NC_A,Adj,,,,,
guajiro,"{100872, 133238}",guajiro,nms    ,NC_O,Adj,,,,,
guanábana,{83022},guanábana,nfs    ,NC_A,soursop/ custard apple,,,,,
guanábano,{685067},guanábano,nms    ,NC_O,Tree,,,,,
guayaba,"{46921, 251026}",guayaba,nfs    ,NC_A,guava,,,,,V
guayabo,{216474},guayabo,nms    ,NC_O,guava tree,,,,,
guerca,{2704898},guerca,n,NC_A,?,,,,,
guerco,{2704901},guerco,n,NC_O,?,,,,,
guerrillera,{85772},guerrillera,n,NC_A,guerrilla fighter,1,,,,
guerrillero,"{24064, 141758}",guerrillero,nms    ,NC_O,guerrilla fighter,1,,,,
guinda,{46503},guinda,nms    ,NC_A,sour cherry,,,,,V
guindo,{182780},guindo,nms    ,NC_O,sour cherry tree,,,,,
guisa,{66463},guisa,nfs    ,NC_A,"manner, guise, way, habbit",,,,1,V
guiso,{41122},guiso,nms    ,NC_O,stew,,,,1,V
güena,{685095},güena,n,NC_A,person with sex appeal,1,,,,
güeno,{445097},güeno,n,NC_O,person with sex appeal,1,,,,
habanera,{145717},habanera,nfs    ,NC_A,person from havana,1,,,,
habanero,{148414},habanero,nms    ,NC_O,person from havana,1,,,,
hacha,"{28098, 186541}",hacha,nfs    ,NC_A,"axe, hatchet, ace, wizard; a kind of torch",,,,,V
hacho,{212246},hacho,nms    ,NC_O,V,,,,,
hada,"{77270, 285999}",hada,nfs    ,NC_A,"fairy, ",,,,1,
hado,{95683},hado,nms    ,NC_O,"fate, destiny",,,,1,
hagala,{1681029},hagala,n,NC_A,,,,,,
hagalo,{159540},hagalo,n,NC_O,,,,,,
hechicera,{88954},hechicera,nfs    ,NC_A,sorceress,1,,,,
hechicero,{45832},hechicero,nms    ,NC_O,sorcerer,1,,,,
helada,{64242},helada,nfs    ,NC_A,"frost, freezing, (SAL) handcuffs",,,,1,Adj/V
helado,"{14792, 188949, 108837, 49919}",helado,nms    ,NC_O,icecream,,,,1,Adj/V
helena,{167879},heleno,n,NC_O,hellen,1,,,,
heleno,{118454},heleno,n,NC_O,hellen,1,,,,
hermana,"{30762, 280138, 159231}",hermana,n,NC_A,sister,1,,,,
hermano,"{86232, 105313, 22622, 103367}",hermano,n,NC_O,brother,1,,,,
herrera,"{100875, 157606}",herrera,nfs    ,NC_A,blacksmith,1,,,,
herrero,{55776},herrero,nms    ,NC_O,blacksmith,1,,,,
hidra,"{133241, 183228}",hidra,nfs    ,NC_A,hydra (mythical creature),1,,,,
hidro,{191529},hidro,n,NC_O,hydra (mythical creature),1,,,,
hija,{13631},hijo,n,NC_O,child,1,,,,
hijita,"{140593, 42100}",hijita,n,NC_A,small child,1,,1,,
hijito,"{39659, 286022}",hijito,n,NC_O,small child,1,,1,,
